Incident ID,State,City Or County,Address,City,County
1179619,Illinois,Chicago,1300 block of S Millard Ave,Chicago,
1179607,Illinois,Chicago,1300 block of W 76th St,Chicago,
1179677,Illinois,Chicago,900 block of S Karlov Ave,Chicago,
1179644,Illinois,Chicago,1600 block of S Avers Ave,Chicago,
1179810,Nevada,Las Vegas,3400 block of Coran Ln,Las Vegas,
1180161,Missouri,Kansas City,E 18th St and Highland Ave,Kansas City,
1179805,Illinois,Chicago,1600 block of N Leclaire Ave,Chicago,
1179589,Wisconsin,Milwaukee,40th St and Vliet St,Milwaukee,
1176169,California,Gardena,1212 West 135th Street,Gardena,
1177024,Georgia,Savannah,12328 Largo Dr,Savannah,
1175571,Illinois,Chicago,1200 block of S Avers Ave,Chicago,
1174423,Pennsylvania,York,100 block of E Maple St,York,
1174960,Arizona,Phoenix,2501 E Van Buren St,Phoenix,
1174990,Michigan,Lansing,Spring and River Street,Lansing,
1174190,Louisiana,New Orleans,3400 S Claiborne Ave,New Orleans,
1174527,California,Los Angeles,8801 S Vermont Ave,Los Angeles,
1173476,Texas,Robstown,603 East Ave J,Robstown,
1173637,Illinois,Chicago,1100 block of S Troy St,Chicago,
1172224,Ohio,Cleveland,18416 St Clair Ave,Cleveland,
1173069,California,Oakland,73rd Ave and Bancroft Ave,Oakland,
1172403,Texas,Dallas,3019 South Blvd,Dallas,
1172333,Louisiana,New Orleans,7000 block of Bullard Ave,New Orleans,
1170482,Illinois,Chicago,6400 block of S May St,Chicago,
1168828,Maryland,Baltimore,1000 block of Dundalk Ave,Baltimore,
1169103,Illinois,Chicago,3100 block of W Fulton St,Chicago,
1169656,Washington,Sunnyside,500 block of S 15th St,Sunnyside,
1167806,New Jersey,Elizabeth,323 Irvington Ave,Elizabeth,
1166302,Oklahoma,Oklahoma City,7201 Melrose Ln,Oklahoma City,
1165214,Florida,Palm Beach Gardens (Riviera Beach),2100 block of W 28th St,,Palm Beach Gardens (Riviera Beach)
1165299,Pennsylvania,Philadelphia,2100 block of N 4th St,Philadelphia,
1165183,Washington,Washington,300 block of 53rd St NE,Washington,
1164167,Colorado,Denver,50th Ave and Grant St,Denver,
1164110,Tennessee,Chattanooga,1400 Cowart St,Chattanooga,
1163947,Maryland,Fort Washington,9500 block of Fort Foote Rd,Fort Washington,
1162785,Virginia,Richmond,1401 Roseneath Rd,Richmond,
1162687,Tennessee,Memphis,3678 Powers Rd,Memphis,
1162437,Texas,Houston,9550 Bissonnet St,Houston,
1161230,Florida,Reddick,16300 block of NW Gainesville Rd,Reddick,
1159820,Florida,Orlando,Southland Blvd and Orange Blossom Trail,Orlando,
1160253,Delaware,Wilmington,2709 Ferris Rd,Wilmington,
1160418,Alabama,Brandon,565 US-80,Brandon,
1159528,Tennessee,Memphis,Mount Moriah Rd and Mendenhall Rd,Memphis,
1158826,Alabama,Wetumpka,135 Granite Way,Wetumpka,
1156480,New York,Brooklyn,280 Herkimer St,Brooklyn,
1157073,New York,Albany,First St and Lexington Ave,Albany,
1156528,California,Los Angeles,1600 block of W. 2nd Street,Los Angeles,
1156638,Virginia,Virginia Beach,1800 block of Atlantic Ave,Virginia Beach,
1157733,Ohio,Lima,1440 Bellefontaine Ave,Lima,
1155906,Georgia,Atlanta,5456 E Fayetteville Rd,Atlanta,
1155567,Missouri,Saint Louis,1700 block of Billups Ave,,Saint Louis
1154998,Washington,Washington,1700 block of Benning Rd NE,Washington,
1154558,New York,Buffalo,Grape St,Buffalo,
1153997,Illinois,Chicago,3400 block of W Walnut Ave,Chicago,
1153531,Maryland,Baltimore,4000 block of Penhurst Ave,Baltimore,
1153134,Georgia,Ashburn,800 Block of W. Washington,Ashburn,
1153471,New Jersey,Jersey City,Lexington Ave and John F Kennedy Blvd,Jersey City,
1151584,Maryland,Annapolis,888 Bestgate Rd,Annapolis,
1151355,California,Oakland,8901 MacArthur Boulevard,Oakland,
1151527,Texas,San Antonio,100 block of Holly Street,San Antonio,
1151373,Connecticut,Hartford,124 Hillside Ave,Hartford,
1149910,Illinois,Chicago,3900 block of S Vincennes Ave,Chicago,
1148468,North Carolina,Sanford,109 S Steele St,Sanford,
1148678,Florida,Punta Gorda,2450 Harbour Dr,Punta Gorda,
1148647,Florida,Indiantown,17068 SW Palm Beach St,Indiantown,
1149173,Florida,Palm Beach Gardens (Riviera Beach),1200 block of W 35th St,,Palm Beach Gardens (Riviera Beach)
1149463,Indiana,Gary,2500 block of Harrison Street,Gary,
1148596,Ohio,Sandusky,1504 Milan Rd,Sandusky,
1148042,Kansas,Wichita,1403 Harding  St,Wichita,
1147720,Illinois,Chicago,100 block of East 51st St,Chicago,
1161366,Tennessee,Covington,319 N High St,Covington,
1147323,Pennsylvania,Homestead (Munhall),1324 Margaret St,,Homestead (Munhall)
1146968,California,San Bernardino,279 W Base Line,San Bernardino,
1146760,Louisiana,Morganza,Deaton Ln,Morganza,
1146547,Illinois,Chicago,6500 block of S Claremont Ave,Chicago,
1145709,California,Modesto,2300 block of West Hatch Road,Modesto,
1145881,Alabama,Huntsville,905 Lee Dr NW,Huntsville,
1144852,Illinois,Bloomington,311 Riley Dr,Bloomington,
1143558,Illinois,Chicago,1300 block of S Loomis St,Chicago,
1143135,North Carolina,Charlotte,3215 Queen City Dr,Charlotte,
1142789,New Jersey,Trenton,635 S Clinton Ave,Trenton,
1143081,Georgia,Macon,325 Edgewood Ln,Macon,
1143524,Illinois,Chicago,2200 block of S Sacramento Ave,Chicago,
1141645,California,Union City,32992 Mission Blvd,Union City,
1141943,California,Tracy,W 6th St,Tracy,
1141745,New York,Buffalo,Marigold Ave,Buffalo,
1141108,Colorado,Westminster,5150 W 80th Ave,Westminster,
1142145,Pennsylvania,Philadelphia,400 block of Penn St,Philadelphia,
1139320,New York,Bronx,W 166th St and  Summit Ave,Bronx,
1139176,Alabama,Montgomery,3220 block of Virginia Pines Ln,Montgomery,
1138324,Florida,Orlando,4932 Eaglesmere Dr,Orlando,
1137435,California,Valley Village,12719 Tiara St,,Valley Village
1137586,Indiana,Indianapolis (Lawrence),4745 N Richardt Ave,,Indianapolis (Lawrence)
1137547,Illinois,Aurora,300 block of W Park Ave,Aurora,
1137600,Florida,Bradenton,5627 14th St W,Bradenton,
1137473,Illinois,Chicago,6400 block of S Eberhart Ave,Chicago,
1137848,Illinois,Bloomington,1200 block of Orchard Rd,Bloomington,
1137737,North Carolina,Kannapolis,1709 S Cannon Blvd,Kannapolis,
1136928,Massachusetts,Boston,14 Copeland St,Boston,
1137402,Pennsylvania,Philadelphia,2000 block of 20th St,Philadelphia,
1134378,Florida,Jacksonville,Town Center Pkwy,Jacksonville,
1132408,Texas,Dallas,4500 Spring Ave,Dallas,
1131909,Illinois,Chicago,1200 block of W 73rd Pl,Chicago,
1131855,Nebraska,Omaha,S 11th St and Farnam St,Omaha,
1132050,New York,Buffalo,Strauss Street,Buffalo,
1129432,South Carolina,Timmonsville,544 Chaney Grove Rd,Timmonsville,
1126712,Louisiana,Shreveport,857 E Stoner Ave,Shreveport,
1126434,Colorado,Aurora,15373 E 6th Ave,Aurora,
1124777,Ohio,Cincinnati,1000 block of Ross Avenue,Cincinnati,
1122728,Indiana,Anderson,1604 Madison Ave,Anderson,
1121111,Mississippi,Hazlehurst,513 Monticello St,Hazlehurst,
1118785,Texas,Santa Fe,16000 Hwy 6,Santa Fe,
1116705,Texas,Ponder,610 Lone Star Park Ln,Ponder,
1115110,Maryland,Baltimore,2020 Etting St,Baltimore,
1114725,California,Los Angeles,365 W Manchester Avenue,Los Angeles,
1115051,California,Stockton,2436 Belleview St,Stockton,
1114402,Mississippi,Byhalia,French Rd and Berta Rd,Byhalia,
1114276,Nebraska,Omaha,3201 Decatur St,Omaha,
1113538,New Jersey,Paulsboro,275 W Buck St,Paulsboro,
1113737,Missouri,Saint Louis,4800 block of Farlin Ave,,Saint Louis
1112948,Oklahoma,Talihina,2nd St and Dallas St,Talihina,
1111950,Missouri,Saint Louis,5200 block of Minerva Avenue,,Saint Louis
1111649,Nebraska,Omaha,Sahler St and N 48th St,Omaha,
1110399,California,San Diego,15th St and J St,San Diego,
1108856,Oklahoma,Stillwater,2020 East Lakeview Road,Stillwater,
1109322,Tennessee,Memphis,499 N Watkins St,Memphis,
1108879,Georgia,Columbus,4944 Sentry Street,Columbus,
1110773,North Carolina,Henderson,519 Hilliard St,Henderson,
1109928,Illinois,Chicago Heights,200 block of E 23rd St,Chicago Heights,
1106451,Illinois,Chicago,3500 block of W Grenshaw St,Chicago,
1106432,New York,Brooklyn,333 Bristol St,Brooklyn,
1106557,Minnesota,Minneapolis,2400 block of Ogema Place,Minneapolis,
1105061,Louisiana,New Orleans,3200 block of Saint Claude Ave,New Orleans,
1103454,Florida,Pompano Beach,4251 N Dixie Hwy,Pompano Beach,
1103465,Washington,Washington,3600 block of New York Ave NE,Washington,
1103423,Tennessee,Wartburg,519 South Kingston St,Wartburg,
1102808,Washington,Seattle (Skyway),12603 Renton Ave S,,Seattle (Skyway)
1103045,North Carolina,Monroe,1500 block of Massey St,Monroe,
1102900,Florida,West Palm Beach,1969 S Military Trail,West Palm Beach,
1102559,North Carolina,Maxton,Modest Rd,Maxton,
1100691,Arkansas,Pine Bluff,300 block of West 24th Street,Pine Bluff,
1100852,Missouri,Saint Louis,1151 Northdale Dr,,Saint Louis
1099516,Michigan,Flint,2200 block of Ave A,Flint,
1096826,Tennessee,Antioch,3571 Murfreesboro Pike,Antioch,
1097700,Louisiana,New Orleans,1900 block of St Roch Ave,New Orleans,
1096232,Pennsylvania,Philadelphia,1800 block of W Diamond St,Philadelphia,
1096388,California,San Francisco,3rd Street and Quesada Ave,San Francisco,
1095043,North Carolina,Asheville,73 Hansel Ave,Asheville,
1092279,Louisiana,Shreveport,6956 Jewella Ave,Shreveport,
1088778,California,Vallejo,201 Maine St,Vallejo,
1087153,North Carolina,Hickory,247 1st Ave NW,Hickory,
1087021,Florida,Miami,1300 block of NW 63rd Terrace,Miami,
1086773,Florida,Jacksonville,6100 block of Transylvania Ave,Jacksonville,
1086966,Virginia,Virginia Beach,5800 block of Pickering St,Virginia Beach,
1084847,Louisiana,New Orleans,3300 Garden Oaks Drive,New Orleans,
1083552,Texas,Houston,8500 block of Redcliff Rd,Houston,
1082835,Michigan,Saginaw,600 block of Yale St,Saginaw,
1083011,Alabama,Mobile,3556 Halls Mill Rd,Mobile,
1082273,New Jersey,Asbury Park,Atlantic Ave and Monmouth Ave,Asbury Park,
1080234,Texas,Plano,7401 Alma Dr,Plano,
1080442,New Jersey,Camden,Kaighn Ave and Haddon Ave,Camden,
1077180,Utah,Salt Lake City (West Valley City),3180 South 5600 West,,Salt Lake City (West Valley City)
1074886,California,San Francisco,949 Geneva Ave,San Francisco,
1071427,Kentucky,Louisville,2928 W Kentucky St,Louisville,
1071381,Illinois,Harvey,16700 S Halsted St,Harvey,
1078612,Florida,Macclenny,South Blvd,Macclenny,
1068615,California,Modesto,2000 block of Robertson Rd,Modesto,
1067061,Indiana,South Bend,800 block of E Dayton St,South Bend,
1067264,Illinois,Champaign,700 block of N Hickory St,Champaign,
1067296,Michigan,Saginaw,Cumberland Ave and Hess St,Saginaw,
1066594,North Carolina,Wadesboro,1300 E Caswell St,Wadesboro,
1064514,Alabama,Hurtsboro,531 Main Street,Hurtsboro,
1062466,Illinois,Rockford,426 Howard Ave,Rockford,
1061748,New York,Brooklyn,Kings Highway and Utica Avenue,Brooklyn,
1062123,Florida,Miami,1300 Block of NW 62nd Ln,Miami,
1059559,Connecticut,Bridgeport,1306 Stratford Ave,Bridgeport,
1057518,Michigan,Detroit,22700 Fenkell Ave,Detroit,
1056240,Florida,Palm Beach Gardens (Riviera Beach),W 23rd St,,Palm Beach Gardens (Riviera Beach)
1052372,Texas,San Antonio,2893 Cinema Ridge,San Antonio,
1052035,Kansas,Kansas City,1615 Minnesota,Kansas City,
1051407,Tennessee,Memphis,3188 N Watkins Ave,Memphis,
1051291,Oklahoma,Oklahoma City,1700 block of SW 15,Oklahoma City,
1049217,Florida,Pompano Beach (Parkland),5901 Pine Island Rd,,Pompano Beach (Parkland)
1049024,Louisiana,New Orleans,5400 block of Andry St,New Orleans,
1047761,Michigan,Detroit,19432 Lamont St,Detroit,
1046961,Kentucky,Paintsville,413 Mill St,Paintsville,
1044234,Florida,Lake Worth (Lantana),I-95 and W Lantana Rd,,Lake Worth (Lantana)
1043447,Colorado,Colorado Springs,4225 Galley Rd,Colorado Springs,
1042280,Ohio,Cleveland (Garfield Heights),11321 Broadway Ave,,Cleveland (Garfield Heights)
1040815,Missouri,Saint Louis,Goodfellow Blvd and Dr Martin Luther King Dr,,Saint Louis
1037529,Pennsylvania,Melcroft,1301 Indian Creek Valley Rd,,Melcroft
1037515,Indiana,Indianapolis,1313 N Sherman Dr,Indianapolis,
1038429,Pennsylvania,Reading,123 S 3rd St,Reading,
1037438,Kentucky,Bowling Green,645 Pearl Street,Bowling Green,
1037541,California,Los Angeles,243 East 119th St,Los Angeles,
1035803,Washington,Washington,1600 block of Kenilworth Ave NE,Washington,
1033262,Kentucky,Benton,416 High School Rd,Benton,
1034205,Pennsylvania,Philadelphia,N 24th St and Ridge Ave,Philadelphia,
1032393,Florida,Orlando,3101 Willow Bend Blvd,Orlando,
1031851,Illinois,Chicago,3200 W Division St,Chicago,
1029095,Washington,Washington,2000 block of 16th St SE,Washington,
1042072,Florida,Alachua,14223 NW 156th Pl,Alachua,
1026804,Alabama,Eutaw,809 Mesopotamia St,Eutaw,
1027013,Alabama,Madison,101 Westchester Dr,Madison,
1025673,Tennessee,Nashville,2614 Jenkins Ct,Nashville,
1025272,Missouri,Saint Robert (St Robert),St Robert Outer Road and Houston Road,,Saint Robert (St Robert)
1022067,Alabama,Union Springs,US-29,Union Springs,
1022055,Florida,Plantation,5225 W Broward Blvd,Plantation,
